# 更新标记: 2025-12-26 21:50:38
🌐央视频道,#genre#
CCTV1,http://114.254.38.27:18888/rtp/239.3.1.129:8008
CCTV2,http://114.254.38.27:18888/rtp/239.3.1.60:8084
CCTV3,http://114.254.38.27:18888/rtp/239.3.1.172:8001
CCTV4,http://114.254.38.27:18888/rtp/239.3.1.105:8092
CCTV5,http://114.254.38.27:18888/rtp/239.3.1.173:8001
CCTV6,http://114.254.38.27:18888/rtp/239.3.1.174:8001
CCTV7,http://114.254.38.27:18888/rtp/239.3.1.61:8104
CCTV8,http://114.254.38.27:18888/rtp/239.3.1.175:8001
CCTV9,http://114.254.38.27:18888/rtp/239.3.1.62:8112
CCTV10,http://114.254.38.27:18888/rtp/239.3.1.63:8116
CCTV11,http://114.254.38.27:18888/rtp/239.3.1.152:8120
CCTV12,http://114.254.38.27:18888/rtp/239.3.1.64:8124
CCTV13,http://114.254.38.27:18888/rtp/239.3.1.124:8128
CCTV14,http://114.254.38.27:18888/rtp/239.3.1.65:8132
CCTV15,http://114.254.38.27:18888/rtp/239.3.1.153:8136
CCTV16,http://114.254.38.27:18888/rtp/239.3.1.184:8001
CCTV17,http://114.254.38.27:18888/rtp/239.3.1.151:8144
CCTV4K,http://106.116.240.126:9999/rtp/239.254.201.67:6000
CCTV8K,http://yp.qqqtv.top/1/api.php?id=CCTV-8K%E8%B6%85%E9%AB%98%E6%B8%85&auth=666858
CCTV5+,http://114.254.38.27:18888/rtp/239.3.1.130:8004
CCTV书画,http://yp.qqqtv.top/1/api.php?id=%E4%B9%A6%E7%94%BB%E9%A2%91%E9%81%93&auth=666858
CCTV中学生,http://8.138.7.223/tv/migu3.php?id=zxs
CCTV老故事,http://8.138.7.223/tv/migu3.php?id=lgs
CCTV发现之旅,http://8.138.7.223/tv/migu3.php?id=fxzl
CCTV文化精品,http://yp.qqqtv.top/1/api.php?id=CCTV-%E5%A4%AE%E8%A7%86%E6%96%87%E5%8C%96%E7%B2%BE%E5%93%81&auth=666858
CCTV兵器科技,http://sh.lnott.top:880/dx81.m3u8
CCTV央视台球,https://epg.pw/stream/ca9c1cd4b97fb824cedd7fedfd0c7a950afdd7f00751cfbb7c2d89831d7746a5.m3u8
CCTV风云足球,http://hmfs.f3322.net:3388/hls/9/index.m3u8
CCTV世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
